A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
175,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
176,0.025675045,0.030067767,0.035184896,0.041135957,0.048043441,,,,,,,,
177,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
178,0.078982846,0.091638156,0.106087642,0.031706023,0.037091299,,,,,,,,
179,0.594680216,0.633160694,0.045847239,0.053501691,0.737527884,,,,,,,,
180,0.128949983,0.14832213,0.170036442,0.194204835,0.922962682,,,,,,,,
181,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
182,0.783726127,0.809993354,0.833747085,0.855062603,0.037091299,,,,,,,,
183,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
184,0.009562049,0.011229785,0.013184523,0.015474192,0.438618287,,,,,,,,
185,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
186,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
187,0.016410504,0.077222713,0.806202425,0.830330807,0.852006583,,,,,,,,
188,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
189,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
190,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
191,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
192,0.039535979,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
193,0.128949983,0.14832213,0.045847239,0.053501691,0.062350588,,,,,,,,
194,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
195,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
196,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
197,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
198,0.042888304,0.050074672,0.014335812,0.016822009,0.019730746,,,,,,,,
199,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
200,0.252531488,0.284407391,0.951823654,0.958749418,0.964716451,,,,,,,,
202,0.078982846,0.091638156,0.027080644,0.031706023,0.037091299,,,,,,,,
203,0.009562049,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
204,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
205,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
206,0.047276734,0.055156053,0.015851071,0.018595095,0.021803621,,,,,,,,
207,0.03629459,0.042425088,0.012076415,0.014176411,0.01663543,,,,,,,,
208,0.071873345,0.083492776,0.024518656,0.028719364,0.033614966,,,,,,,,
209,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
210,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
211,0.659820154,0.906792509,0.728573802,0.930861023,0.272630378,,,,,,,,
212,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
213,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
214,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
215,0.011504498,0.013506401,0.015851071,0.074747736,0.086788403,,,,,,,,
216,0.039535979,0.046187738,0.013184523,0.015474192,0.018154177,,,,,,,,
217,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
218,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
219,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
220,0.109371795,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
221,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
222,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
223,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
226,0.066412637,0.077222713,0.089623442,0.026443942,0.030964034,,,,,,,,
227,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
228,0.061107939,0.071120339,0.791931759,0.817434537,0.840441257,,,,,,,,
229,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
230,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
231,0.033555775,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
232,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
233,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
234,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
235,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
236,0.078982846,0.091638156,0.106087642,0.031706023,0.037091299,,,,,,,,
237,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
238,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
239,0.061107939,0.071120339,0.082628872,0.817434537,0.840441257,,,,,,,,
240,0.019716465,0.091638156,0.027080644,0.122508239,0.141069372,,,,,,,,
242,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
243,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
244,0.033555775,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
245,0.052627286,0.061340933,0.071388606,0.082936674,0.096159357,,,,,,,,
246,0.033555775,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
247,0.770027418,0.943803246,0.822499116,0.844988632,0.131760187,,,,,,,,
248,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
249,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
250,0.03629459,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
