
Categorical variable freqs (actual CHDS):

"z1single"
"","Actual (%)"
"6",1.17994100294985,1.87747035573123,1.88492063492063,1.89431704885344,1.97433366238894,2.4975024975025,2.34933605720123,1.74180327868852,2.17842323651452,1.25391849529781,1.48936170212766,1.75438596491228,1.10987791342952
"7",0.688298918387414,0.494071146245059,0.892857142857143,0.997008973080758,0.592300098716683,0.799200799200799,0.408580183861083,1.02459016393443,1.03734439834025,0.731452455590387,0.74468085106383,0.986842105263158,0.443951165371809
"8",1.47492625368732,2.07509881422925,1.58730158730159,3.09072781655035,2.46791707798618,2.8971028971029,2.04290091930541,2.35655737704918,2.28215767634855,1.88087774294671,1.91489361702128,1.20614035087719,1.22086570477248
"9",0.196656833824975,0.0988142292490119,0.694444444444444,0.897308075772682,0.888450148075025,0.899100899100899,0.715015321756895,1.22950819672131,0.726141078838174,0.626959247648903,0.638297872340425,0.986842105263158,0.665926748057714
"10",2.16322517207473,2.96442687747036,1.88492063492063,3.09072781655035,2.66535044422507,3.1968031968032,2.55362614913177,2.35655737704918,4.149377593361,3.34378265412748,3.51063829787234,3.28947368421053,2.5527192008879
"11",0,0,0.198412698412698,0.0997008973080758,0.493583415597236,0.3996003996004,0.408580183861083,0.409836065573771,0.103734439834025,0.417972831765935,0.212765957446809,0.328947368421053,0.110987791342952
"12",1.17994100294985,1.58102766798419,1.48809523809524,0.897308075772682,2.27048371174729,2.1978021978022,2.24719101123596,1.74180327868852,2.4896265560166,2.40334378265413,2.12765957446809,1.75438596491228,2.21975582685905
"13",0.0983284169124877,0.197628458498024,0.496031746031746,0.299102691924227,0.296150049358342,0.1998001998002,0.510725229826353,0.614754098360656,0.518672199170124,0.626959247648903,0.638297872340425,0.328947368421053,0.332963374028857
"14",0.196656833824975,0.395256916996047,0.595238095238095,0.398803589232303,0.69101678183613,0.999000999000999,1.02145045965271,0.614754098360656,0.829875518672199,0.522466039707419,0.531914893617021,0.767543859649123,1.10987791342952
"15",1.17994100294985,1.87747035573123,2.18253968253968,2.39282153539382,2.96150049358342,4.0959040959041,4.59652706843718,3.58606557377049,4.66804979253112,3.97074190177638,3.51063829787234,3.17982456140351,2.77469478357381
"16",1.17994100294985,1.48221343873518,1.88492063492063,2.49252243270189,2.36920039486673,1.998001998002,2.4514811031665,3.48360655737705,3.00829875518672,3.03030303030303,2.65957446808511,2.74122807017544,2.99667036625971
"17",0.294985250737463,0.197628458498024,0.297619047619048,0.199401794616152,0,0.699300699300699,0.715015321756895,0.409836065573771,0.311203319502075,0.522466039707419,0.531914893617021,0.548245614035088,0.221975582685905
"18",0.393313667649951,0.494071146245059,0.396825396825397,0.398803589232303,0.493583415597236,0.799200799200799,0.715015321756895,1.53688524590164,1.03734439834025,1.25391849529781,0.851063829787234,1.42543859649123,1.88679245283019
"19",0,0.0988142292490119,0.0992063492063492,0,0.197433366238894,0.1998001998002,0.204290091930541,0.102459016393443,0.103734439834025,0.313479623824451,0.212765957446809,0.43859649122807,0.110987791342952
"20",2.06489675516224,2.27272727272727,1.19047619047619,2.29312063808574,2.66535044422507,4.89510489510489,5.31154239019408,6.45491803278689,6.84647302904564,7.21003134796238,7.12765957446809,6.14035087719298,6.54827968923419
"21",0.0983284169124877,0,0.0992063492063492,0.498504486540379,0.197433366238894,0.2997002997003,0.612870275791624,0.922131147540984,0.518672199170124,0.313479623824451,0.212765957446809,0.548245614035088,0.332963374028857
"22",0.0983284169124877,0.0988142292490119,0.297619047619048,0,0.0987166831194472,0.599400599400599,0.612870275791624,0.717213114754098,0.829875518672199,1.14942528735632,1.06382978723404,0.548245614035088,1.22086570477248
"23",0,0.0988142292490119,0.297619047619048,0.199401794616152,0.493583415597236,0.3996003996004,0.204290091930541,0.307377049180328,0.518672199170124,0.522466039707419,0.425531914893617,0.87719298245614,1.10987791342952
"24",0,0.296442687747036,0.496031746031746,0.598205383848455,0.69101678183613,0.799200799200799,1.12359550561798,1.12704918032787,1.97095435684647,1.77638453500522,2.23404255319149,1.53508771929825,2.21975582685905
"25",0.196656833824975,0.691699604743083,0.793650793650794,1.29611166500499,1.28331688055281,1.1988011988012,1.32788559754852,2.76639344262295,2.9045643153527,3.76175548589342,4.36170212765957,4.05701754385965,3.55160932297447
"26",0,0,0.198412698412698,0.199401794616152,0.0987166831194472,0,0.510725229826353,0.204918032786885,0.103734439834025,0.313479623824451,0.425531914893617,0.43859649122807,0.332963374028857
"27",0.0983284169124877,0.197628458498024,0.198412698412698,0.69790628115653,0.197433366238894,0.3996003996004,0.306435137895812,0.307377049180328,0.829875518672199,0.626959247648903,0.425531914893617,0.986842105263158,0.665926748057714
